https://www.statutoryholidays.com/long-weekend.php,,,,,
event_civic,holiday,float,date_2024,date_2025,date_2026
New Years Day,TRUE,,2024-01-01,2025-01-01,2026-01-04
Family Day,TRUE,TRUE,2024-02-19,2025-02-17,2026-02-16
Good Friday,TRUE,TRUE,2024-03-29,2025-04-18,2026-04-03
Easter Monday,TRUE,TRUE,2024-04-01,2025-04-21,2026-04-06
Mothers Day,,TRUE,2024-05-12,2025-05-12,2026-05-10
Victoria Day,TRUE,TRUE,2024-05-20,2025-05-19,2026-05-18
Canada Day,TRUE,,2024-06-01,2025-06-01,2026-06-01
Fathers Day,,TRUE,2024-06-16,2025-06-15,2026-06-15
Heritage Day,TRUE,TRUE,2024-08-05,2025-08-04,2026-08-03
Independence Day,,,2024-08-24,2025-08-24,2026-08-24
Labour Day,TRUE,TRUE,2024-09-02,2025-09-01,2026-09-07
Thanksgiving,TRUE,TRUE,2024-10-14,2025-10-13,2026-10-12
Halloween,,,2024-10-31,2025-10-31,2026-10-31
Remembrance Day,TRUE,,2024-11-11,2025-11-11,2026-11-11
Christmas Day,TRUE,,2024-12-24,2025-12-24,2026-12-24
