https://www.timeanddate.com/calendar/seasons.html?year=2000&n=80,,,,,,,,
Year,March equinox date,March equinox time,June solstice date,June solstice time,September equinox date,September equinox time,December solstice date,December solstice time
2000,Mar 20,12:35 am MST,Jun 20,7:47 pm MDT,Sep 22,11:27 am MDT,Dec 21,6:37 am MST
2001,Mar 20,6:30 am MST,Jun 21,1:37 am MDT,Sep 22,5:04 pm MDT,Dec 21,12:21 pm MST
2002,Mar 20,12:16 pm MST,Jun 21,7:24 am MDT,Sep 22,10:55 pm MDT,Dec 21,6:14 pm MST
2003,Mar 20,5:59 pm MST,Jun 21,1:10 pm MDT,Sep 23,4:46 am MDT,Dec 22,12:03 am MST
2004,Mar 19,11:48 pm MST,Jun 20,6:56 pm MDT,Sep 22,10:29 am MDT,Dec 21,5:41 am MST
2005,Mar 20,5:33 am MST,Jun 21,12:46 am MDT,Sep 22,4:23 pm MDT,Dec 21,11:34 am MST
2006,Mar 20,11:25 am MST,Jun 21,6:25 am MDT,Sep 22,10:03 pm MDT,Dec 21,5:22 pm MST
2007,Mar 20,6:07 pm MDT,Jun 21,12:06 pm MDT,Sep 23,3:51 am MDT,Dec 21,11:07 pm MST
2008,Mar 19,11:48 pm MDT,Jun 20,5:59 pm MDT,Sep 22,9:44 am MDT,Dec 21,5:03 am MST
2009,Mar 20,5:43 am MDT,Jun 20,11:45 pm MDT,Sep 22,3:18 pm MDT,Dec 21,10:46 am MST
2010,Mar 20,11:32 am MDT,Jun 21,5:28 am MDT,Sep 22,9:08 pm MDT,Dec 21,4:38 pm MST
2011,Mar 20,5:20 pm MDT,Jun 21,11:16 am MDT,Sep 23,3:04 am MDT,Dec 21,10:30 pm MST
2012,Mar 19,11:14 pm MDT,Jun 20,5:08 pm MDT,Sep 22,8:48 am MDT,Dec 21,4:11 am MST
2013,Mar 20,5:01 am MDT,Jun 20,11:03 pm MDT,Sep 22,2:44 pm MDT,Dec 21,10:11 am MST
2014,Mar 20,10:57 am MDT,Jun 21,4:51 am MDT,Sep 22,8:29 pm MDT,Dec 21,4:03 pm MST
2015,Mar 20,4:45 pm MDT,Jun 21,10:37 am MDT,Sep 23,2:20 am MDT,Dec 21,9:47 pm MST
2016,Mar 19,10:30 pm MDT,Jun 20,4:34 pm MDT,Sep 22,8:21 am MDT,Dec 21,3:44 am MST
2017,Mar 20,4:28 am MDT,Jun 20,10:24 pm MDT,Sep 22,2:01 pm MDT,Dec 21,9:27 am MST
2018,Mar 20,10:15 am MDT,Jun 21,4:07 am MDT,Sep 22,7:54 pm MDT,Dec 21,3:22 pm MST
2019,Mar 20,3:58 pm MDT,Jun 21,9:54 am MDT,Sep 23,1:50 am MDT,Dec 21,9:19 pm MST
2020,Mar 19,9:49 pm MDT,Jun 20,3:43 pm MDT,Sep 22,7:30 am MDT,Dec 21,3:02 am MST
2021,Mar 20,3:37 am MDT,Jun 20,9:32 pm MDT,Sep 22,1:21 pm MDT,Dec 21,8:59 am MST
2022,Mar 20,9:33 am MDT,Jun 21,3:13 am MDT,Sep 22,7:03 pm MDT,Dec 21,2:48 pm MST
2023,Mar 20,3:24 pm MDT,Jun 21,8:57 am MDT,Sep 23,12:50 am MDT,Dec 21,8:27 pm MST
2024,Mar 19,9:06 pm MDT,Jun 20,2:50 pm MDT,Sep 22,6:43 am MDT,Dec 21,2:20 am MST
2025,Mar 20,3:01 am MDT,Jun 20,8:42 pm MDT,Sep 22,12:19 pm MDT,Dec 21,8:03 am MST
2026,Mar 20,8:46 am MDT,Jun 21,2:24 am MDT,Sep 22,6:05 pm MDT,Dec 21,1:50 pm MST
2027,Mar 20,2:24 pm MDT,Jun 21,8:10 am MDT,Sep 23,12:01 am MDT,Dec 21,7:42 pm MST
2028,Mar 19,8:17 pm MDT,Jun 20,2:01 pm MDT,Sep 22,5:45 am MDT,Dec 21,1:19 am MST
2029,Mar 20,2:02 am MDT,Jun 20,7:48 pm MDT,Sep 22,11:38 am MDT,Dec 21,7:14 am MST
2030,Mar 20,7:51 am MDT,Jun 21,1:31 am MDT,Sep 22,5:26 pm MDT,Dec 21,1:09 pm MST
2031,Mar 20,1:41 pm MDT,Jun 21,7:17 am MDT,Sep 22,11:15 pm MDT,Dec 21,6:55 pm MST
2032,Mar 19,7:21 pm MDT,Jun 20,1:08 pm MDT,Sep 22,5:10 am MDT,Dec 21,12:55 am MST
2033,Mar 20,1:22 am MDT,Jun 20,7:01 pm MDT,Sep 22,10:51 am MDT,Dec 21,6:45 am MST
2034,Mar 20,7:17 am MDT,Jun 21,12:44 am MDT,Sep 22,4:39 pm MDT,Dec 21,12:33 pm MST
2035,Mar 20,1:02 pm MDT,Jun 21,6:33 am MDT,Sep 22,10:39 pm MDT,Dec 21,6:30 pm MST
2036,Mar 19,7:02 pm MDT,Jun 20,12:32 pm MDT,Sep 22,4:23 am MDT,Dec 21,12:12 am MST
2037,Mar 20,12:50 am MDT,Jun 20,6:22 pm MDT,Sep 22,10:13 am MDT,Dec 21,6:07 am MST
2038,Mar 20,6:40 am MDT,Jun 21,12:09 am MDT,Sep 22,4:02 pm MDT,Dec 21,12:02 pm MST
2039,Mar 20,12:31 pm MDT,Jun 21,5:57 am MDT,Sep 22,9:49 pm MDT,Dec 21,5:40 pm MST
2040,Mar 19,6:11 pm MDT,Jun 20,11:46 am MDT,Sep 22,3:44 am MDT,Dec 20,11:32 pm MST
2041,Mar 20,12:06 am MDT,Jun 20,5:35 pm MDT,Sep 22,9:26 am MDT,Dec 21,5:18 am MST
2042,Mar 20,5:53 am MDT,Jun 20,11:15 pm MDT,Sep 22,3:11 pm MDT,Dec 21,11:04 am MST
2043,Mar 20,11:27 am MDT,Jun 21,4:58 am MDT,Sep 22,9:06 pm MDT,Dec 21,5:01 pm MST
2044,Mar 19,5:20 pm MDT,Jun 20,10:51 am MDT,Sep 22,2:47 am MDT,Dec 20,10:43 pm MST
2045,Mar 19,11:07 pm MDT,Jun 20,4:33 pm MDT,Sep 22,8:32 am MDT,Dec 21,4:35 am MST
2046,Mar 20,4:57 am MDT,Jun 20,10:14 pm MDT,Sep 22,2:21 pm MDT,Dec 21,10:28 am MST
2047,Mar 20,10:52 am MDT,Jun 21,4:03 am MDT,Sep 22,8:08 pm MDT,Dec 21,4:07 pm MST
2048,Mar 19,4:33 pm MDT,Jun 20,9:53 am MDT,Sep 22,2:00 am MDT,Dec 20,10:02 pm MST
2049,Mar 19,10:28 pm MDT,Jun 20,3:47 pm MDT,Sep 22,7:42 am MDT,Dec 21,3:52 am MST
