Date,Civil Twilight Start,Sunrise,Local Noon,Sunset,Civil Twilight End,Illumination Day,Illumination Sky,Illumination Total
Jan 1,8:08,8:50,12:37,16:25,17:07,7.57,1.42,8.99
Jan 2,8:08,8:50,12:38,16:26,17:08,7.59,1.42,9.01
Jan 3,8:07,8:50,12:38,16:27,17:09,7.62,1.42,9.03
Jan 4,8:07,8:50,12:39,16:28,17:11,7.64,1.41,9.06
Jan 5,8:07,8:49,12:39,16:29,17:12,7.67,1.41,9.08
Jan 6,8:07,8:49,12:40,16:31,17:13,7.7,1.41,9.11
Jan 7,8:06,8:48,12:40,16:32,17:14,7.73,1.4,9.13
Jan 8,8:06,8:48,12:41,16:34,17:16,7.76,1.4,9.16
Jan 9,8:05,8:47,12:41,16:35,17:17,7.8,1.39,9.19
Jan 10,8:05,8:47,12:41,16:37,17:18,7.83,1.39,9.22
Jan 11,8:04,8:46,12:42,16:38,17:20,7.87,1.38,9.26
Jan 12,8:04,8:45,12:42,16:40,17:21,7.91,1.38,9.29
Jan 13,8:03,8:44,12:43,16:41,17:22,7.95,1.37,9.32
Jan 14,8:02,8:43,12:43,16:43,17:24,7.99,1.37,9.36
Jan 15,8:01,8:42,12:43,16:44,17:25,8.03,1.36,9.4
Jan 16,8:01,8:41,12:44,16:46,17:27,8.08,1.36,9.44
Jan 17,8:00,8:40,12:44,16:48,17:29,8.13,1.35,9.48
Jan 18,7:59,8:39,12:44,16:50,17:30,8.17,1.35,9.52
Jan 19,7:58,8:38,12:45,16:51,17:32,8.22,1.34,9.56
Jan 20,7:57,8:37,12:45,16:53,17:33,8.27,1.34,9.61
Jan 21,7:56,8:36,12:45,16:55,17:35,8.32,1.33,9.65
Jan 22,7:55,8:34,12:45,16:57,17:37,8.37,1.33,9.7
Jan 23,7:54,8:33,12:46,16:59,17:38,8.42,1.32,9.75
Jan 24,7:52,8:32,12:46,17:01,17:40,8.48,1.32,9.8
Jan 25,7:51,8:30,12:46,17:02,17:42,8.53,1.31,9.84
Jan 26,7:50,8:29,12:46,17:04,17:43,8.59,1.31,9.89
Jan 27,7:49,8:27,12:47,17:06,17:45,8.65,1.3,9.95
Jan 28,7:47,8:26,12:47,17:08,17:47,8.7,1.29,10
Jan 29,7:46,8:24,12:47,17:10,17:49,8.76,1.29,10.05
Jan 30,7:44,8:23,12:47,17:12,17:51,8.82,1.28,10.1
Jan 31,7:43,8:21,12:47,17:14,17:52,8.88,1.28,10.16
Feb 1,7:41,8:20,12:47,17:16,17:54,8.94,1.27,10.21
Feb 2,7:40,8:18,12:48,17:18,17:56,9,1.27,10.27
Feb 3,7:38,8:16,12:48,17:20,17:58,9.06,1.26,10.33
