Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,7:56:00,7:43:00,7:07:00,7:17:00,6:34:00,6:08:00,6:10:00,6:34:00,7:03:00,7:31:00,8:04:00,7:37:00
2,7:56:00,7:42:00,7:05:00,7:16:00,6:33:00,6:07:00,6:11:00,6:35:00,7:04:00,7:32:00,8:05:00,7:38:00
3,7:56:00,7:41:00,7:04:00,7:14:00,6:32:00,6:07:00,6:11:00,6:36:00,7:05:00,7:33:00,7:06:00,7:39:00
4,7:56:00,7:40:00,7:02:00,7:13:00,6:30:00,6:07:00,6:12:00,6:36:00,7:06:00,7:34:00,7:07:00,7:40:00
5,7:56:00,7:39:00,7:01:00,7:11:00,6:29:00,6:07:00,6:12:00,6:37:00,7:07:00,7:35:00,7:08:00,7:41:00
6,7:56:00,7:38:00,6:59:00,7:10:00,6:28:00,6:06:00,6:13:00,6:38:00,7:08:00,7:36:00,7:09:00,7:42:00
7,7:56:00,7:37:00,6:57:00,7:08:00,6:27:00,6:06:00,6:13:00,6:39:00,7:08:00,7:37:00,7:11:00,7:43:00
8,7:56:00,7:36:00,6:56:00,7:06:00,6:26:00,6:06:00,6:14:00,6:40:00,7:09:00,7:38:00,7:12:00,7:44:00
9,7:56:00,7:35:00,6:54:00,7:05:00,6:25:00,6:06:00,6:15:00,6:41:00,7:10:00,7:39:00,7:13:00,7:44:00
10,7:55:00,7:33:00,7:53:00,7:03:00,6:24:00,6:06:00,6:15:00,6:42:00,7:11:00,7:40:00,7:14:00,7:45:00
11,7:55:00,7:32:00,7:51:00,7:02:00,6:23:00,6:06:00,6:16:00,6:43:00,7:12:00,7:41:00,7:15:00,7:46:00
12,7:55:00,7:31:00,7:50:00,7:00:00,6:22:00,6:05:00,6:17:00,6:44:00,7:13:00,7:42:00,7:16:00,7:47:00
13,7:55:00,7:30:00,7:48:00,6:59:00,6:21:00,6:05:00,6:18:00,6:45:00,7:14:00,7:43:00,7:17:00,7:48:00
14,7:54:00,7:29:00,7:46:00,6:57:00,6:20:00,6:05:00,6:18:00,6:46:00,7:15:00,7:44:00,7:19:00,7:48:00
15,7:54:00,7:27:00,7:45:00,6:56:00,6:19:00,6:05:00,6:19:00,6:47:00,7:16:00,7:45:00,7:20:00,7:49:00
16,7:54:00,7:26:00,7:43:00,6:54:00,6:18:00,6:06:00,6:20:00,6:48:00,7:17:00,7:46:00,7:21:00,7:50:00
17,7:53:00,7:25:00,7:42:00,6:53:00,6:17:00,6:06:00,6:21:00,6:49:00,7:18:00,7:47:00,7:22:00,7:50:00
18,7:53:00,7:24:00,7:40:00,6:51:00,6:16:00,6:06:00,6:21:00,6:50:00,7:19:00,7:48:00,7:23:00,7:51:00
19,7:52:00,7:22:00,7:38:00,6:50:00,6:16:00,6:06:00,6:22:00,6:51:00,7:20:00,7:49:00,7:24:00,7:51:00
20,7:52:00,7:21:00,7:37:00,6:49:00,6:15:00,6:06:00,6:23:00,6:52:00,7:21:00,7:51:00,7:25:00,7:52:00
21,7:51:00,7:19:00,7:35:00,6:47:00,6:14:00,6:06:00,6:24:00,6:53:00,7:22:00,7:52:00,7:27:00,7:52:00
22,7:51:00,7:18:00,7:34:00,6:46:00,6:13:00,6:07:00,6:25:00,6:53:00,7:23:00,7:53:00,7:28:00,7:53:00
23,7:50:00,7:17:00,7:32:00,6:44:00,6:13:00,6:07:00,6:26:00,6:54:00,7:23:00,7:54:00,7:29:00,7:53:00
24,7:49:00,7:15:00,7:30:00,6:43:00,6:12:00,6:07:00,6:27:00,6:55:00,7:24:00,7:55:00,7:30:00,7:54:00
25,7:49:00,7:14:00,7:29:00,6:42:00,6:11:00,6:08:00,6:27:00,6:56:00,7:25:00,7:56:00,7:31:00,7:54:00
26,7:48:00,7:12:00,7:27:00,6:40:00,6:11:00,6:08:00,6:28:00,6:57:00,7:26:00,7:57:00,7:32:00,7:54:00
27,7:47:00,7:11:00,7:25:00,6:39:00,6:10:00,6:08:00,6:29:00,6:58:00,7:27:00,7:58:00,7:33:00,7:55:00
28,7:46:00,7:10:00,7:24:00,6:38:00,6:10:00,6:09:00,6:30:00,6:59:00,7:28:00,7:59:00,7:34:00,7:55:00
29,7:45:00,7:08:00,7:22:00,6:36:00,6:09:00,6:09:00,6:31:00,7:00:00,7:29:00,8:00:00,7:35:00,7:55:00
30,7:45:00,,7:21:00,6:35:00,6:09:00,6:10:00,6:32:00,7:01:00,7:30:00,8:02:00,7:36:00,7:55:00
31,7:44:00,,7:19:00,,6:08:00,,6:33:00,7:02:00,,8:03:00,,7:56:00
