Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,17:20:00,17:53:00,18:27:00,19:59:00,20:29:00,20:57:00,21:06:00,20:47:00,20:05:00,19:16:00,18:31:00,17:10:00
2,17:21:00,17:55:00,18:28:00,20:00:00,20:30:00,20:58:00,21:06:00,20:46:00,20:03:00,19:14:00,18:30:00,17:10:00
3,17:22:00,17:56:00,18:29:00,20:01:00,20:31:00,20:58:00,21:06:00,20:45:00,20:01:00,19:12:00,17:29:00,17:10:00
4,17:23:00,17:57:00,18:30:00,20:02:00,20:32:00,20:59:00,21:06:00,20:44:00,20:00:00,19:11:00,17:28:00,17:09:00
5,17:23:00,17:58:00,18:31:00,20:03:00,20:33:00,21:00:00,21:06:00,20:42:00,19:58:00,19:09:00,17:27:00,17:09:00
6,17:24:00,17:59:00,18:32:00,20:04:00,20:34:00,21:00:00,21:05:00,20:41:00,19:57:00,19:08:00,17:26:00,17:09:00
7,17:25:00,18:01:00,18:33:00,20:05:00,20:35:00,21:01:00,21:05:00,20:40:00,19:55:00,19:06:00,17:25:00,17:09:00
8,17:26:00,18:02:00,18:35:00,20:06:00,20:36:00,21:01:00,21:05:00,20:39:00,19:53:00,19:05:00,17:24:00,17:09:00
9,17:27:00,18:03:00,18:36:00,20:07:00,20:37:00,21:02:00,21:04:00,20:38:00,19:52:00,19:03:00,17:23:00,17:09:00
10,17:28:00,18:04:00,19:37:00,20:08:00,20:38:00,21:02:00,21:04:00,20:36:00,19:50:00,19:01:00,17:22:00,17:10:00
11,17:29:00,18:05:00,19:38:00,20:09:00,20:39:00,21:03:00,21:03:00,20:35:00,19:49:00,19:00:00,17:21:00,17:10:00
12,17:30:00,18:07:00,19:39:00,20:10:00,20:40:00,21:03:00,21:03:00,20:34:00,19:47:00,18:58:00,17:20:00,17:10:00
13,17:31:00,18:08:00,19:40:00,20:11:00,20:41:00,21:04:00,21:02:00,20:33:00,19:45:00,18:57:00,17:19:00,17:10:00
14,17:33:00,18:09:00,19:41:00,20:12:00,20:42:00,21:04:00,21:02:00,20:31:00,19:44:00,18:55:00,17:19:00,17:10:00
15,17:34:00,18:10:00,19:42:00,20:13:00,20:43:00,21:05:00,21:01:00,20:30:00,19:42:00,18:54:00,17:18:00,17:11:00
16,17:35:00,18:11:00,19:43:00,20:14:00,20:44:00,21:05:00,21:01:00,20:28:00,19:40:00,18:52:00,17:17:00,17:11:00
17,17:36:00,18:12:00,19:44:00,20:15:00,20:45:00,21:05:00,21:00:00,20:27:00,19:39:00,18:51:00,17:16:00,17:11:00
18,17:37:00,18:14:00,19:45:00,20:16:00,20:46:00,21:06:00,20:59:00,20:26:00,19:37:00,18:50:00,17:16:00,17:12:00
19,17:38:00,18:15:00,19:46:00,20:17:00,20:47:00,21:06:00,20:59:00,20:24:00,19:35:00,18:48:00,17:15:00,17:12:00
20,17:39:00,18:16:00,19:47:00,20:18:00,20:48:00,21:06:00,20:58:00,20:23:00,19:34:00,18:47:00,17:14:00,17:13:00
21,17:40:00,18:17:00,19:48:00,20:19:00,20:48:00,21:06:00,20:57:00,20:21:00,19:32:00,18:45:00,17:14:00,17:13:00
22,17:42:00,18:18:00,19:49:00,20:20:00,20:49:00,21:06:00,20:56:00,20:20:00,19:30:00,18:44:00,17:13:00,17:14:00
23,17:43:00,18:19:00,19:50:00,20:21:00,20:50:00,21:07:00,20:56:00,20:18:00,19:29:00,18:43:00,17:13:00,17:14:00
24,17:44:00,18:20:00,19:51:00,20:22:00,20:51:00,21:07:00,20:55:00,20:17:00,19:27:00,18:41:00,17:12:00,17:15:00
25,17:45:00,18:21:00,19:52:00,20:23:00,20:52:00,21:07:00,20:54:00,20:15:00,19:25:00,18:40:00,17:12:00,17:15:00
26,17:46:00,18:23:00,19:53:00,20:24:00,20:53:00,21:07:00,20:53:00,20:14:00,19:24:00,18:39:00,17:11:00,17:16:00
27,17:47:00,18:24:00,19:54:00,20:25:00,20:53:00,21:07:00,20:52:00,20:12:00,19:22:00,18:37:00,17:11:00,17:17:00
28,17:49:00,18:25:00,19:55:00,20:26:00,20:54:00,21:07:00,20:51:00,20:11:00,19:21:00,18:36:00,17:11:00,17:18:00
29,17:50:00,18:26:00,19:56:00,20:27:00,20:55:00,21:07:00,20:50:00,20:09:00,19:19:00,18:35:00,17:10:00,17:18:00
30,17:51:00,,19:57:00,20:28:00,20:56:00,21:07:00,20:49:00,20:08:00,19:17:00,18:34:00,17:10:00,17:19:00
31,17:52:00,,19:58:00,,20:56:00,,20:48:00,20:06:00,,18:33:00,,17:20:00
